PlaneID,Timestamp,FuelRemaining,AvgConsumption
PlaneID,Timestamp,FuelRemaining,AvgConsumption
70340,0,5200,0
70340,30,5187.5,0.416667
70340,60,5175.1,0.415
70340,90,5162.8,0.413333
70340,120,5150.6,0.411667
70340,150,5138.4,0.410667
70340,180,5126.3,0.409444
70340,210,5114.2,0.408571
70340,240,5102.2,0.4075
70340,270,5090.3,0.406296
70340,300,5078.4,0.405333
70340,360,5054.8,0.403333
70340,420,5031.4,0.401429
70340,480,5008.2,0.399583
70340,540,4985.1,0.397963
70340,600,4962.2,0.396333
70340,660,4939.4,0.394848
70340,720,4916.8,0.393333
70340,780,4894.3,0.391923
70340,840,4871.9,0.390595
70340,900,4849.7,0.389222
70340,960,4827.6,0.387917
70340,1020,4805.6,0.386667
70340,1080,4783.8,0.38537
70340,1140,4762.1,0.384123
70340,1200,4740.5,0.382917
70340,3600,3993,0.335278
70340,FINAL,,0.335278
PlaneID,Timestamp,FuelRemaining,AvgConsumption
59900,0,5200,0
59900,30,5187.5,0.416667
59900,60,5175.1,0.415
59900,90,5162.8,0.413333
59900,120,5150.6,0.411667
59900,150,5138.4,0.410667
59900,180,5126.3,0.409444
59900,210,5114.2,0.408571
59900,240,5102.2,0.4075
59900,270,5090.3,0.406296
59900,300,5078.4,0.405333
59900,360,5054.8,0.403333
59900,420,5031.4,0.401429
59900,480,5008.2,0.399583
59900,540,4985.1,0.397963
59900,600,4962.2,0.396333
59900,660,4939.4,0.394848
59900,720,4916.8,0.393333
59900,780,4894.3,0.391923
59900,840,4871.9,0.390595
59900,900,4849.7,0.389222
59900,960,4827.6,0.387917
59900,1020,4805.6,0.386667
59900,1080,4783.8,0.38537
59900,1140,4762.1,0.384123
59900,1200,4740.5,0.382917
59900,3600,3993,0.335278
59900,FINAL,,0.335278
PlaneID,Timestamp,FuelRemaining,AvgConsumption
85780,0,5200,0
85780,30,5187.5,0.416667
85780,60,5175.1,0.415
85780,90,5162.8,0.413333
85780,120,5150.6,0.411667
85780,150,5138.4,0.410667
85780,180,5126.3,0.409444
85780,210,5114.2,0.408571
85780,240,5102.2,0.4075
85780,270,5090.3,0.406296
85780,300,5078.4,0.405333
85780,360,5054.8,0.403333
85780,420,5031.4,0.401429
85780,480,5008.2,0.399583
85780,540,4985.1,0.397963
85780,600,4962.2,0.396333
85780,660,4939.4,0.394848
85780,720,4916.8,0.393333
85780,780,4894.3,0.391923
85780,840,4871.9,0.390595
85780,900,4849.7,0.389222
85780,960,4827.6,0.387917
85780,1020,4805.6,0.386667
85780,1080,4783.8,0.38537
85780,1140,4762.1,0.384123
85780,1200,4740.5,0.382917
85780,3600,3993,0.335278
85780,FINAL,,0.335278
